,Category,Skills,Education,Experience
53,INFORMATION TECHNOLOGY,skills.  â€¢,"education master of business administration : 2003 university of maryland master of science : computer science , 1994 new jersey institute of technology bachelor of science : computer science , 1990 new jersey institute of technology skills  sap  business process design  dispersed team management   ","experienced in rfp development and vendor selection.  â€¢track record of execution and delivering investment returns.  â€¢well versed in intercultural business communication and practices, including remote management of globally dispersed organizations.  professional experience head, information technology and information center  march 2015 company name - city , state  provide leadership and direction to the gms information center - a collection of data scientists and analysts dedicated to the production of high-value analytics to support manufacturing.  director, supply chain and logistics information technology  october 2010 to march 2015 company name - city , state  established supply chain technology direction for global manufacturing organization. established the gms information center - an organization dedicated to providing advanced analytical capabilities to support the manufacturing organization. delivered key transformational "
54,Executive Summary,"skills. client, organizational and task oriented problem solver with the ability to rapidly adapt to new situations.  core ","education training. provide leadership development education. provide logistical support, course development, delivery, evaluation, process measurements, and cost management. plan the implementation and facilitation of activities and events, budget spending, material production and distribution, and other resources to ensure that operations are managed within authorized budgets.  company name city , state owner/partner defense contractor 10/2006 to 07/2011  top secret facility clearance. supervised, and trained employees for high level security military intelligence operations, recruited quality personnel for special assignments, conducted high level briefings and debriefing for various security level investigations at federal locations to military, civilian and congressional personnel. developed business plans, budgets, cost proposals, task schedules, cost analysis and projections; issued status/quality control plans and reports. developed specific scenarios and created specific characters per u.s.military specifications adhering to strict government guidelines. provided experienced instructors/role players who educate and assist military and civilian personnel prior to deployment. created comprehensive lesson plans to instruct military and civilian personnel. developed customized programs to support and enhance the security agencies of the united states government.  company name city , state program administrator ii, project manager. training specialist ii: us army (cisac) 01/2004 to 09/2006  consultant and liaison to the department of interior (doi) and department of defense (dod) to effectively modernize inventory/ cataloging processes for sensitive and classified files, material and property. single point of contact for project scheduling and changes. capture manager: contract acquisition: procure, write and implement new and existing request for purchase/quotes opportunities rfp/rfq) provided instruction to students enrolled in the cisac 35l/97b course, using various methods, to include: formal platform instruction, practical exercises, demonstrations, automated presentations, test administration, test reviews. retest-retrain team: consultant to da branch chief of 35l/97b intelligence school. assigned to retrain and coach officers, soldiers and instructors who needed additional training to perform to their full potential as counterintelligence agents. role player.    company name city , state role player 01/2003 to 01/2004  provided services as a role player in support of cisac for us army intelligence center. research & development: created new scenarios for field training exercises (ftx) cadre and teams, used world events as guidelines. executed quality assurance programs. prepared standard operating procedures. analyzed program data to assist in strategic decision-making.  education bachelor of arts (equivalent) : theology 2007 university of the south , city , state , usa  graduated  associates (equivalent) : office automation/computer specialist 1989 coleman university , city , state , usa  valedictorian  ","experience developing and implementing innovative solutions. experienced leadership and development professional with over 10 years' experience in various training environments. intermediate/expert level in all ms applications. strong training, management, learning/development, administrative and consultative "
55,VICE PRESIDENT,"skills  â€¢infrastructure managementâ  â€¢data center operations â€¢project managementâ  â€¢team building/coachingâ  â€¢vendor management and negotiationâ  â€¢budget managementâ  â€¢policy/program development â  â€¢lan/wan, san, firewalls and routersâ â€¢  experience company name city , state vice president information technology infrastructure operations 06/2008 to current  reduced overall network bandwidth costs over 15%, through isp consolidation and management. manages cloud based phone system (8x8) in multiple remote locations as well as on-premise phone systems. responsible for infrastructure operations annual budget, including purchasing new equipment, software licenses, and network equipment. led, mentored and developed a team of infrastructure engineers, architects, and administrators across multiple geographic locations. manages multiple datacenters, on premise network and server, and cloud presence. responsible for vendor relationships, contracts, negotiating and change management. successfully migrated over 700 users from three different domain on-premise exchange servers to ms exchange online under single domain. planning, and executing migration of all on-prem saas servers and application to a cloud based solution. lead, manage, and support all design, development, implementation of infrastructure hardware, software, and network components as well as all disaster recovery and business continuity practices. currently managing infrastructure and it operations in an offshore delivery center. document and execute it policies company wide.  company name city , state director of network operations 07/2006 to 06/2008  maintains nortel bcm telephony servers, including both analog and voip phones. provide technical support to designers, marketing and sales departments, suppliers, engineers and other team members throughout the product development and implementation process. monitor functioning of equipment and make necessary modifications to ensure system operates in conformance with specifications. build, test, and modify product prototypes using working models or theoretical models constructed with computer simulation. store, retrieve, and manipulate data for analysis of system capabilities and requirements. setup, maintained, and monitored over 90 remote branch office locations.â  each with internet access and tied back to chicago office through ipsec tunnel to cisco asa. responsible for entrapass security system allowing access to suite doors utilizing id badge. setup, configured and supports multiple crm and erp systems (sage mas500 and crm dynamics), as well as converting quickbooks db to sage mas 500.  company name city , state information operations specialist 02/2005 to 07/2006  responsible for administering microsoft 2000/2003 environment, consisting of 50 primarily proliant servers, including patch management, account maintenance, and other general system administration duties. maintains cisco call manager application and unity server, providing voip services to user community. built new pc deployment image using symantec ghost and intrinsic swimage, responsible for creating silent install packages for all third party applications. implemented new backup procedures using legato networker tape backup systems and a qualstar jukebox, bringing the hospital within hipaa standards compliance.  company name city , state customer care representative - help desk technician supporting 09/2003 to 02/2005  primarily supported lawincontext, bakermaks, and client matter intake system (cmis). active team member providing regression testing of various software builds of a proprietary law document management solution. administering a linux based system to host an internal knowledge base portal assisting other help desk agents with daily troubleshooting.  company name city , state system administrator 10/1998 to 12/2001  administered several enterprise servers running a mixed environment including sun solaris, red hat linux, freebsd, sco unix, and windows nt/2000. developed and maintained unix shell scripts, used to automate daily help desk agent tasks. selected to attend a 15 week ibm emerging leaders workshop that included training in breakthrough thinking, team building, team performance, and managing multiple priorities. designed and developed unix login reauthorization program using c, shell scripting, oracle, and web development resulting in    approximately 40,000 unused or unauthorized unix logins to be cleared from servers.  company name city , state healthcare systems specialist 02/1993 to 11/1998  maintain records of goods ordered and received. review, evaluate, and approve specifications for issuing and awarding bids. control purchasing department budgets. maintain and administer computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations. perform data backups and disaster recovery operations. design, configure, and test computer hardware, networking software and operating system software. attended air force airman leadership school, graduating as the honor graduate.  ","education and training bachelor of science : computer science troy state university , city , state , montgomery associate of science : healthcare systems community college of the air force , city , state , montgomery   ","experience in diverse industries, including healthcare and marketing. expertise includes team leadership, technical architecture, training and development, disaster recovery planning, and information protection analysis. dynamic, resourceful, and extremely driven individual with a deep passion for creating and delivering programs and solutions that empower a team, company, and customer to meet and exceed desired expectations "
56,INFORMATION TECHNOLOGY,"skills, customer support experience and related ","education i thrive to exceed technical, business, and customer expectations. a long time hobby of mine is demonstrating electronics in retail stores. i really enjoy in-store demonstrations, direct sales and training sessions with employees.  continuing to improve myself is very important to me. i feel being professionally certified by comptia, lexmark, hewlett packard, microsoft, fujitsu, icâ³, the eta, fema and other bodies allows me to think outside the box and create a custom solution that best fits the client's needs.  highlights exceptional telephone etiquette vast technical knowledge troubleshooting proficiency dhcp/dns ethernet and firewall proficient comptia a+, net+ accomplished with mobile devices  technical help desk experience database servers excellent problem solving skills microsoft office specialist drive duplication and imaging knowledge adept at troubleshooting  ","experience providing high quality consulting and technical assistance to home and business end users. as a field service technician since late 2004, i am able to install, repair and maintain many types of point of sale register equipment as well as servers, networking and related peripherals.  with an ability to integrate computer "
57,INFORMATION TECHNOLOGY,"skills. i have the technical knowledge and experience required for the strategic planning and funding of annual and multi-year business operations. my efforts have resulted in a direct costs savings in business operations. most recently, we implemented user provided smart phones and free apps to provide efficient digital dictation and provided mobile capability to access our document management system. i have a dedicated work ethic that is required to oversee day-to-day technical business operations updating and upgrading systems in use while at the same time implementing new systems: upgraded the firms bread-n-butter time and billing financial system several times. upgraded the word perfect application suite to the microsoft office 2000 suite. upgraded microsoft office 2000 suite to the microsoft office 2007 suite. upgraded the groupwise messaging to outlook messaging. upgraded the worldox document management system to worldox gx3. upgraded the audix voice messaging to mutare voice messaging. assisted the marketing department to implement a firm wide client relationship management (crm) system. setup up voice over internet protocols (voip) systems at two regional offices. implemented and upgraded many of100 technical applications and systems used at the firm on an as needed basis to improve efficiency. implemented several mobile applications on attorney personal devices to improve efficiency (vpn connectivity, rdp clients, dictate digital dictation, dropbox, microsoft office mobile suite of applications, linkedin, business card scanner, twitter, etc.) the firm experienced minimum unplanned system downtime under my watch and my team and i oversaw and provided training on the many various applications, processes and procedures used in business operations. i am an experienced data security officer with the skills and knowledge to ensure data is adequately protected. i was the firm's security officer and developed the technical security systems and procedures used in business operations. it was an interesting responsibility due to the challenges with balancing ""ease of use"" while ensuring system and data ""security."" every year my team and i would oversee a mandatory hippa (health insurance portability and accountability act) program review. every other year my team and i would facilitate a system wide vulnerability audit that included social engineering and vulnerability testing techniques. i am an experienced project manager with the skill set, knowledge and interpersonal tools required to ensure the timely and efficient implementation of systems and applications. i enjoy the aspects of project management as it involves ""cradle to grave"" involvement. interacting with the users to determine their technical and budget needs, interacting with vendors, communicating with my peers and self- study to find the right technology to meet the need, testing the application and processes or feasibility and efficiency, documenting the processes and procures involved, preparing user instructions and finally implementing and training users on the new system. i appreciate the resources, processes and procedures required to ensure system efficiency and readiness. at the firm most applications are hosted at the central office with the regional offices connecting with redundant ethernet connections, this saves on the cost of having data centers and support staff at each firm location. my team and i have also authored the firm's business/continuity/disaster recovery plan for it applications and systems. the firm decided the priority and timeliness of systems and applications to recover. i and my team have configured many it systems to fail over to the backup systems automatically which is barely noticeable to users. i served as either the project manager or as a team member in all of the examples expressed in my resume.  ","education associate's degree : computer information systems harrisburg area community college computer information systems associate's degree : business administration business administration mba : leadership program elizabethtown college leadership program various technical training certification courses and an honorably discharged air force veteran. skills air force, attorney, backup, balance, billing, budget, business operations, interpersonal, competitive, crm, client, clients, dictation, disaster recovery, document management, ethernet, fast, financial, groupwise, insurance, internet protocols, team leader, law, marketing, messaging, access, microsoft office, office, microsoft office 2000, outlook, negotiation, pricing, processes, project management, relationship management,    scanner, strategic planning, technical training, phones, upgrading, vpn, voice and data, voip, word perfect   ","experience information technology director  april 1999 to january 2015 company name ï¼​ city , state  for the past sixteen years i was a leader of change for the largest law firm in the central pennsylvania area with over 275 in office users at 6 locations and over 200 work from home users. i was a visionary in regards to technical business operations, responsible for providing professional staff at various locations with efficient, up-to-date, secure and stable voice and data communications on a daily basis within budget. the ability to use good judgment, proven technologies and industry standards to balance ease of use with security. i am a fast paced leader with the patience to oversee the maintenance of existing systems while at the same time plan the implementation of new technologies in a cost efficient and timely manner. i am both a professional team leader and player that has directly managed a staff of seven information technical professionals as well as participating in many project implementation teams and initiatives. i am experienced in many of the technical methods, tools and applications used in business operations with the ability to connect multiple offices with highly secure and redundant internet connections. while at the firm i was able to receive better than competitive pricing for the circuits due to the quantity of services required as well as my vendor negotiation "
58,INFORMATION TECHNOLOGY,skills dedicated team player labor relations  ,"education associate of science : business administration 1980 richard bland college city , state business administration skills excellent attention to detail fast learner ability to work under pressure excellent problem-solving abilities   ","experience information technology specialist (infosec) 01/2012 to 11/2015 company name city , state  interpreted scan results, implemented corrective action, and prepared reports of findings in support of the network infrastructure. worked in coordination with army cyber command and regional computer emergency response (army cyber and rcert) to support computer networks attacks (cna) and computer network defense (cnd) efforts.  chief steward 01/2000 to 01/2012 company name city , state  defended the interest of the federal employees at fort sam houston, tx.  â assigned cases to stewards based on their skill sets  â managed the receptionist area, including greeting visitors and â responding to telephone and in-person requests for information.  â prepared employee's rebuttal to grievances.  â organized files, developed spreadsheets, faxed reports and scanned â  â documents.  â participated in arbitrations, mediations, and alternate dispute resolutions.  "
59,Contact Center,"skills. skills  microsoft office verint siebel rta avaya operating systems vista windows 7 windows 8 windows 10  experience 08/2015 to current customer service representative company name ï¼​ city , state  handled large call volume while being able to multi task and provide accurate information to the consumers while maintaining a high level of quality of service.  keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.  confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.  refer unresolved customer grievances to designated departments for further investigation.  complete contract forms, prepare change of address records, or issue service discontinuance orders, using computers.  09/2014 to 07/2015 customer service supervisor company name ï¼​ city , state  provides supervision and leadership to a team of 20 to 60 customer service representatives and through the various communication channels within operations (telephone, e- mail, written correspondence, and web-chat). met contract specific goals/","education and training 2013 associate of science : psychology eastern kentucky university ï¼​ city , state skills administrative, advertising, avaya, budget, coach, conflict resolution, prepare contracts, clients, customer service, dispatching, e- mail, forms, information technology, inspect, iso 9001, leadership, materials, microsoft office, operating systems, developer, performance appraisals, personnel, progress, quality, quality control, recording, recruitment, safety codes, siebel, supervisory, supervision, telephone, time management, vista, written   ","experience within contact center operations, supervised teams of 20 up to 100 employees. extensive experience within the contact center operations environment, including daily communications with all levels of leadership supervisor, management. recognized for ability to multitask and excel at any task assigned, analytical and organizational "
60,INFORMATION TECHNOLOGY,"skills / excellent interpersonal skills presentations / training / documentation standard operating procedures development experience information technology specialist company name information systems specialist 07/2011 to 12/2012 company name city  level 1 and 2 technical support during strategic operations in stuttgart, germany for classified and unclassified systems. trained proficiently in information assurance security. implemented and sustained satellite and radio communications for all computer based information systems and voip. maintained and organized important it documentation. deployed countermeasures against security breaches. implemented windows 7 across garrison units. direct support for senior officer staff. responsible for several million dollars in equipment and for personnel. remedy / exchange / cpof / softcau-hardcau / organizational unit administrator / vpn / ftp / tcp/ip / firewalls / voip / remote connectivity / encryption / netscreen / cisco / tier 2 helpdesk.  cable installer and maintainer 11/2010 to 07/2011 company name city  cable installer and maintainer for multiple army posts in stuttgart, germany including 6 months in a combat zone in africa. extensive knowledge in wiring infrastructure, troubleshooting, cat 5 and 6, and fiber termination. maintained and organized racks, patch panels, cable trays, switches and routers. working knowledge of terminating, splicing, testing and troubleshooting copper and fiber cable using fluke cable analyzers. accountable for thousands of dollars of equipment to include fluke networks products.  operator 12/2009 to 11/2010 company name city  at the defense messaging center with primary duties of facilitating defense messaging system (dms) in support of headquarters, united states european command (useucom) and other department of defense activities. responsible for the operation and maintenance of cp-xp, amhs, dii guard and certificate workstations in support of dms, siprnet and niprnet with the 52d signal battalion. perform after hours network operations functions to include monitoring spectrum, recall of essential personnel and situational management, and opens, monitors status and closes trouble tickets. while reporting and conducting essential missions in high visibility areas. responsible and accountable for over $100 million worth of equipment and repair parts. spectrum / amhs / customer support / defense messaging system / siprnet / discretionary access lists / trouble tickets.  ","education associate of arts : business administration 12 2014 business administration comptia security+ certified certification / oct 2011 information technology specialist training (25 weeks) us army / nov 2009 information technology online training (223 hours) us army / mar 2009-jan 2012 sipr/nipr access point (snap) terminal (32 hours) certification / june 2011 fiber optic connectors and splicing basic installation course (40 hours) certification / aug 2010 skills army, basic, cable, cat 5, cisco, encryption, customer support, documentation, firewalls, ftp, information systems, information technology, messaging, access, exchange, windows 7, monitors, network, networks, oct, organizational, personnel, radio, reporting, routers, strategic, switches, tcp/ip, technical support, troubleshooting, voip, vpn, wiring additional information  awards honorable discharge, united states army national defense service medal global war on terrorism service medal army service ribbon overseas service ribbon army superior unit award army good conduct medal numerous certificates of achievement and coins of excellent   ","experience in high visibility support roles centered on microsoft technologies and information security strong understanding of workflow / business process, support roles in organizations multiple awards for proven performance management squad leader / shift leader strong leadership "
61,INFORMATION TECHNOLOGY,"skills and knowledge of the latest advances in technology. network administrator talented at resolving highly technical issues efficiently to maintain uptime and increase productivity levels. skills  remote access support systems analysis preventative maintenance expert data backup and recovery systems wireless access point performance testing user account creation  superb interpersonal skills antivirus and spam blocking vpn configurations lan and wan expertise  work history information technology specialist , 08/2012 to current  company name â€“ city , state   provides outstanding support to mission partners and other customers. responds to customer calls and touch labor requests. ensures the confidentiality, integrity, and availability of systems and data available on the lan. troubleshoots hardware and software components and manages the testing, installation and configuration of software. performs daily security inspections of entire decc facility to include all secured and controlled areas. identifies and mitigates all security vulnerabilities and coordinates with security manager. coordinates with, and escorts all decc visitors in secure areas and ensures only authorized personnel and equipment are permitted in controlled/ secure areas. enclave lan administrator for decc warner robins. ensures all administrative lan and automated data processing equipment used by personnel is maintained and fully operational. plans and coordinates the installation of new software and network infrastructure equipment. monitors network performance and performs diagnostics to identify and resolve connectivity issues. appointed alternate ticket manager. assigns and track incident status. ensure all incidents are being worked and are completed within the allotted time. escalates and forward all incidents for further evaluation if needed. implemented and coordinated a complete technology refresh of decc adpe. ensuring all staff was properly equipped to support the decc mission. spearheaded the decc's migration from the admin enclave network over to the disanet network with minimal impact to decc personnel. provides outstanding support to mission partners and other customers. develops plans and designs for network modifications and enhancements interfaces with vendors to ensure appropriate resolution during network outages or periods of reduced performance. troubleshot and maintained all networking devices and infrastructure across the enterprise including switches, routers and firewalls. troubleshot and maintained all networking devices and infrastructure across the enterprise including switches, routers and firewalls. documented all server and network problems and other unusual events in detail. upgraded and expanded network systems and their components.  computer systems administrator , 12/2007 to 08/2012  company name â€“ city , state   deploys computer systems and other hardware throughout the base. performs new and replacement desktop and laptop imaging for users. troubleshoot and correct local desktop firewall issues, and antivirus updating issues. performs upgrades, installation of software and drivers, and essential desktop troubleshooting. team lead on deployment of over 150 siprnet workstations. tasked primary administrator for all siprnet support in zone. performed security scans on classified systems and collaborated with the information assurance team to mitigate vulnerabilities and breaches. install and configure hardware/software to meet end-user needs. poc for all installs and upgrades of the cargo management operations system. provide desktop support and uses various utilities to trouble-shoot, repair, and check configuration of desktops. install and configure network and pc attached printers to include brother, hewlett-packard and xerox multifunction printers. troubleshoot/diagnose end-user network connectivity and bandwidth issues, and dhcp scope issues. diagnose and correct workstation performance issues. maintain network and computer system security and ensure that all systems are operating correctly.    imaged and deployed over 300 laptop and desktops for customers throughout robins afb. restored data, operating systems, files, documents and drivers.  information assurance/network security , 01/2006 to 12/2007  company name â€“ city , state   in-depth experience in multiple environments developing, implementing, and maintaining secure networks. duties ranged from installing and maintaining workstations to managing base boundary exception system. distributed, monitored, and maintained time compliance network orders, threat bulletins, and advisories generated by the af computer emergency response team. responsibilities/","education bachelor of science : computer information systems , 2002  jacksonville university - city , state  computer information systems ","experienced network professional with outstanding success rate at installing and supporting critical, multi-site networks. proven ability to manage all phases of network installation and administration. adept at analyzing business requirements and crafting technical network solutions. possess excellent written and verbal communication "
62,Information Technology,"skills. solutions-focused, team oriented senior technical support analyst with broad-based experience and hands-on skills in the successful implementation of highly effective desktop support operations. a broad understanding of computer hardware and software, including installation, configuration, management, trouble-shooting, and support. extensive experience with hp products to include desktop, laptop, high-end mfp devices and web jetadmin, areas of direct expertise include project coordination & design, in-depth technical support, corporate desktop support, microsoft os experience including installations-configuration-imaging, migration, and registry editing. network and citrix experience. recommendations listed on roz arasmo - estee lauder companies, inc., human resources administrator it is with great pleasure do i take this opportunity to write this recommendation on such an extra ordinary individual who is not only an awesome person to know but a wonderful colleague as well. during the almost ten (10) years of knowing bill, he has not only displayed a great talent within the it organization at estee lauder, but has distributed excellent skills and customer service to everyone throughout the company. he is extremely well thought of from every level of management to senior management. his dedication and diligent to excellence has proven superior time and time again. when called upon he demonstrates top support in a timely and professional manner not to mention that he completes his tasks thoroughly with accuracy never having to be called back again for the same issue. we have been privileged to have such an awesome professional within our organization. ____________________________________________________________________________________________ lorilee dickson - director, change management and communications at estee lauder bill is a diligent and hard-working professional with excellent customer service skills and exceptional knowledge of the it industry. each time i requested support, he was quick to respond and completed each request completely and with urgency. his thorough approach and attention to detail are an added bonus to the computer support he provides on a regular basis. skills years' experience) security+ (intermediate, 12 years' experience) customer service (expert, 20+ years' experience) networking (intermediate, 10 years' experience) internet explorer symantec antivirus (intermediate, 9 years' experience) windows 7 (intermediate, 2 years' experience) series 7 (beginner, 20+ years' experience) xp (advanced, 6 years' experience) dos (intermediate, 20+ years' experience) windows 8.1 (3 years 'experience), ip mac os (beginner, 2 years' experience) iphone (intermediate, 2 years' experience) ipad (intermediate, 2 years' experience) user interface writing (intermediate, 12 years' experience) troubleshooting (advanced, 20+ years' experience), it operations (intermediate, 8 years' experience) ","education and training 2017 computer career college - mcse,cna, a+,cna, information technology : city university of new york - cis - computer and information systems security / information assurance computer and information systems security / information assurance 1987 rollins college - finance finance 1962 ","experience in information technology.information technology professional with well-developed interpersonal, communication, organizational and presentation "
63,STAFF ASSISTANT,"skills  75 wpm typing speed excellent communication skills articulate and well-spoken accurate and detailed  advanced clerical knowledge hipaa compliance advanced clerical knowledge works well under pressure  work history staff assistant 08/2007 to current  company name â€“ city , state   currently working at the office of information technology. responsible for providing support to richard biever, ciso and his staff. primary duties include: calendaring and scheduling responsibilities using dcal, lotus notes or shared calendaring systems, including scheduling multiple complex meetings in separate calendaring products for various staff members concurrently; telephone screening/triage which involves interviewing callers, answering questions concerning departmental or divisional activities, transmitting instructions and/or information to and from staff members, making proper referrals as necessary; preparing materials and making arrangements for conferences and travel, including preparing travel expense summaries and reconciliations; preparing necessary documents for supervisor's use in meetings; attending meetings to take minutes; coordinating monthly staff leave reports; clearing procurement cards receipts in paris; serving as liaison with external vendors and oit constituents; support audio/visual capable conferences and meetings by training users and providing assistance with a/v electronics operation. backup duties include: ordering and managing inventory of office, conference room and break room supplies as needed; distributing departmental mail; providing coverage for the atc reception desk, including lunches, breaks and scheduled and unscheduled absences of the oit receptionist; secondary duties include: screening avp's, directors' and/or managers' mail and documents as requested, determining relevance, prioritization, etc., based on content of communication and knowledge of departmental programs and activities; and organizing and maintaining divisional or departmental files. use of computer, copier, fax and multi-line telephone. planned and coordinated logistics and materials for board meetings, committee meetings and staff events. created detailed expense reports and requests for capital expenditures. ordered and distributed office supplies while adhering to a fixed office budget. coordinated domestic and international travel arrangements, including booking airfare, hotel and transportation. managed office supplies, vendors, organization and upkeep. directed guests and routed deliveries and courier services. answered and managed incoming and outgoing calls while recording accurate messages. opened and properly distributed incoming mail. greeted numerous visitors, including vips, vendors and interview candidates. helped distribute employee notices and mail around the office. assisted with event planning, including associated travel and logistical arrangements. assessed urgency and priorities before accepting or declining appointments and meetings with the ceo. screened all visitors and directed them to the correct employee or office. obtained signatures for financial documents and internal and external invoices. coordinated, scheduled and arranged meeting and travel calendars, including business and social events. coordinated board and committee meetings, including schedules and information preparation and distribution.  receptionist 09/2006 to 08/2007  company name   responsible for answering and directing incoming calls, disbursing parking passes and visitor's badges, greeting visitors, accepting and disbursing incoming packages, leave tracking, maintaining telephone directory, and providing support to staff assistants. use of computer, copier, fax and multi-line telephone. deputy clerk employed ordered and distributed office supplies while adhering to a fixed office budget. managed office supplies, vendors, organization and upkeep. directed guests and routed deliveries and courier services. answered and managed incoming and outgoing calls while recording accurate messages. opened and properly distributed incoming mail. greeted numerous visitors, including vips, vendors and interview candidates. maintained a clean reception area, including lounge and associated areas.  legal secretary 01/2000 to 01/2003  company name â€“ city , state   responsible for preparation of court motions and orders, customer service,.    billing /accounting and extensive communications with the courts and other law offices. answered and managed incoming and outgoing calls while recording accurate messages. greeted numerous visitors, including vips, vendors and interview candidates. screened all visitors and directed them to the correct employee or office. obtained signatures for financial documents and internal and external invoices.  deputy clerk 2003 to 2006  company name â€“ city , state   responsible for the filing, preparation and maintenance of court files. completing and filing warrant in debts (300+ per month), completing and filing garnishments (150+ per month), collecting court fines and costs, data entry (70+ wpm) and court room support to the judge. use of multi-line telephone, fax, copier and computer court system. legal secretary. obtained signatures for financial documents and internal and external invoices. coordinated board and committee meetings, including schedules and information preparation and distribution. planned and coordinated logistics and materials for board meetings, committee meetings and staff events.  ","education associate of arts : general studies 1 2000 southwest virginia community college - city , state general studies course work in finance  course work in administration skills accounting, audio, backup, billing, conferences, content, customer service experience, customer service, data entry, data entry, directing, electronics, fax, filing, information technology, inventory, law, legal, lotus notes, managing, materials, meetings, excel, exchange, mail, office, microsoft word, multi-line telephone, multi-tasking, organizing, copier, procurement, receptionist, reception, scheduling, supervisor, telephone, 70 wpm additional information  letter of recommendation available upon request.   ","experience supplying thorough, organized administrative support to10+ senior executives. "
64,INFORMATION TECHNOLOGY,"skills. dependable, responsible contributor committed to excellence and success. efficient problem solver with excellent decision-making, organizational, and interpersonal skills; able to effectively communicate with customers of all socioeconomic levels. knowledge of principles and processes for providing customer and personal services; including customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. analytical thinker, relentless researcher and an experienced problem solver. adaptable and able to work under pressure and remain productive in a fast-paced environment. trained team members ability to take charge with little to no guidance excelled as a leader when in charge trained in management procedures, analyzing data and the principle of business communication excellent interpersonal and social skills; experienced in successful team collaboration to achieve goals effective oral communications using a phone, individual, group, training, facilitating & presentations efficient written communications utilizing report writings, developing presentations, through emails and policies & procedures customer service ability to resolve problems in a timely manner professional and personable in relating with clients and coworkers ability to remain calm, patient, and productive in a fast-paced environment knowledge of principles and processes for providing customer and personal services. this includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction ","education and training october 2014 devry university city , state bachelors of college of business management : technical management gpa: graduation with distinction gpa: 3.0 technical management graduation with distinction gpa: 3.0 principles of management project management ","experience in customer relations, excellent verbal and written communication "
65,INFORMATION TECHNOLOGY,"skills arabic, back-up, budgets, hardware, client, database, database management, designing, disaster recovery, documentation, financial, help desk, hp, local area network, lan, leadership, access, 2000, network, networks, nt servers, pc's, policies, printer, processes, research, sql, ms sql, desktop support, training programs, trouble shooting, troubleshooting, upgrades, wan, workflow   ","education american military university 2014 master of arts : national security studies cyber security national security studies cyber security air force air command and staff college 2013 state graduate certificate: aerospace, cyberspace and joint professional education. marymount university 2007 master : science computer information systems management city , state science computer information systems management    marymount university 1999 bachelor of science : computer information systems city , state computer information systems mcafee cyber institute certified cyber intelligence professional (ccip). 2016 professional affiliations member of the delta epsilon sigma honor society member of intelligence and national security alliance. member of the senate information security it group. member of council for emerging national security affairs. member of partnership for secure america. ","experience in the information technology field providing tier ii - iii technical support. i have demonstrated highly advanced troubleshooting techniques in resolving end-user issues with swift efficiency and going above and beyond sla. 15 plus years of experience working with united senate end-users across multiple technological platforms. experience company name administrator of information technology  city  january 17th 2007- present). research, implement and support new technologies in support of developing public policy implement and support of 175-person infrastructure upgrades train technical and general staff in support processes and troubleshooting techniques establishes system specifications by conferring with users; analyzing workflow, access, information, and security requirements; designing system infrastructure. establishes system by planning and executing the selection, installation, configuration, and testing of pc and server hardware, software, lan and wan networks, and operating and system management systems; defining system and operational policies and procedures. maintains system performance by performing system monitoring and analysis, and performance tuning; troubleshooting system hardware, software, networks and operating and system management systems; designing and running system load/stress testing; escalating application problems to vendor. secures system by developing system access, monitoring, control, and evaluation; establishing and testing disaster recovery policies and procedures; completing back-ups; maintaining documentation. prepares users by designing and conducting training programs; providing references and support. upgrades system by conferring with vendors and services; developing, testing, evaluating, and installing enhancements and new software. meets financial requirements by submitting information for budgets; monitoring expenses for the entire leadership conference. protects organization's value by keeping information confidential.  company name united states senate network support engineer  city  august 17th 20004 -2006). integrated, selected and developed procedures to support 3rd party. provided support for software, printing, and network access issues to entire senate community. provided senior level support to internal help desk operations. worked on integrating with 3rd party software. responsible for installation, configuration and support of capitol correspond sql database. trouble shooting with hp printer issues. worked on connecting and configuring pc's, and nt servers to the network. assure that h/w and software are working smoothly within the environment. provide desktop support in a cross-platform environment support the ongoing development and maintenance of local area network support effective security systems. back-up systems and updates. perform special "
